,QID,SID,SUBCATEGORY,QUESTION,CORRECT,INCORRECT1,INCORRECT2,INCORRECT3
0,72,3,Lord of the Rings,To what race did Gimli belong?,Dwarves,Giants,Hobbits,Ainur
1,22,1,History of Art,What are the first names of the British contemporary artists the Chapman brothers?,Jake and Dinos,Josh and Doug,Julian and Dick,Joe and Dudley
2,786,27,Sport - General - World Cup (Soccer),Which nation in terms of population is the smallest one that has won the World Cup trophy?,Uruguay,Spain,France,Italy
3,472,16,Landmarks & Monuments,In which Indian city is the Lotus Temple?,Delhi,Bangalore,Jaipur,Kolkata
4,1446,9,Musicals,Which 1960 musical features a character who became an unwitting member of Fagin's gang?,Oliver,Joseph,Tim,Billy
5,1023,15,Cities,"How many Scandinavian cities have a greater population that Copenhagen, the capital of Denmark?",1,2,3,4
6,797,27,Sport - General - World Cup (Soccer),How many World Cup appearances Nigeria has?,6,3,8,9
7,886,30,Reality TV,What are the fishermen in the 'Deadliest Catch' fishing for?,Crabs,Lobsters,Sharks,Sea Bass
8,312,11,Films Released in 1930s-1950s,What does ex-patriate Rick Blaine run in the city of Casablanca in Morocco in 'Casablanca' (1942)?,Café,Hotel,Dock,Pharmacy
9,763,26,Astronomy & Space & Planets,A spiral system containing several billion stars gave its name to which chocolate bar?,Milky Way,Aero,Mars,Curly-Wurly
10,1335,13,Brazilian Cuisine,What is Macarronada com Requeijao in English?,Macaroni & Cheese,Macaroni & Cream,Macron & Cheese,Cheesy Maroon
11,424,15,Cities,In which continent is the capital city of Tunis?,Africa,North America,Asia,South America
12,1320,12,Japanese Cuisine,What is added to rice to make the dish of seikan?,Beans,Cheese,Shrimps,Carrots
13,330,11,Films Released in 1930s-1950s,The Reluctant Dragon' (1941) is the first Disney feature long film to credit what?,Characters voices,Songs,Actors,Locations
14,800,27,Sport - General - World Cup (Soccer),On how many World Cups has Angola participated?,1,2,3,4
15,654,22,Classical Music,"The Bridal Chorus, more famous today as Here Come The Bride, comes from an Opera by which composer?",Wagner,Ravel,Beethoven,Bach
16,815,28,Sport - US - Basketball General,How many times have the Boston Celtics been NBA Champions?,17,19,15,21
17,1215,25,Biology,The Death Cap is the most poisonous variety of what?,Mushroom,Banana,Strawberry,Plum
18,741,25,Biology,From which plant do we get fiber known as 'Coir' that door mats are often made from?,Coconut,Mango,Passion fruit,Papaya
19,249,9,Musicals,Taron Egerton plays which British icon in the 2019 musical - drama film Rocketman?,Elton John,Freddie Mercury,John Lennon,David Bowie
20,271,10,Directors,"Who directed the sci-fi films Alien, Blade Runner, Prometheus and The Martian?",Ridley Scott,Steven Spielberg,Stanley Kubrick,James Cameron
21,1663,29,Cartoons,Which TV character made the noise 'Pssch-ti-cuff....pssch-ti-cuff'?,Ivor the Engine,Barney Rubble,Huckleberry Hound,Mr Benn
22,1055,17,Greek Mythology,"In Greek legend, who was a sculptor who fell in love with one of his own statues?",Pygmalion,Aphrodite,Venus,Narcissus
23,1430,29,Cartoons,What's the name of the 2008 animated film in which Jack Black provides the lead character's voice?,Kung Fu Panda,Karate Koala,Tai Chi Elephant,Judo Hippopotamus
24,967,8,Video Games,Doctor Robotnik is the arch-nemesis of which computer game character?,Sonic the Hedgehog,Earthworm Jim,Dr Gordon Freeman,Max Payne
25,20,1,History of Art,Which Italian artist's real name was Alessandro di Mariano di Vanni Filipepi?,Botticelli,Da Vinci,Rubens,Verdi
26,1531,13,Brazilian Cuisine,Which of the following are some of the ingredients in different variations of Arroz de Forno?,Bacon,Churros,Lamb,Mince
27,656,22,Classical Music,The Halle Orchestra is based in which British City?,Manchester,Leeds,Liverpool,London
28,1731,1,History of Art,Who painted the famous 'The Siege of Montemassi'?,Simone Martini,Hans Holbein,Lorenzetti,Giotto
29,1537,13,Brazilian Cuisine,Which of the following is a main ingredient in Ensopada de Camarao?,Spices,Basil,Jalapenos,Cinnamon
