,WorkerId,HumanCondition,FeedbackCondition,GoodCondition,Topic,SelfAssessment,OtherAssessment,TruePerformance,OtherPerformance,Round
0,A1SHLWKA0UH1IS,True,False,True,1,6,7,9,10,1
1,A1SHLWKA0UH1IS,True,False,True,2,4,7,9,9,1
2,A1SHLWKA0UH1IS,True,False,True,3,4,6,4,9,1
3,A1SHLWKA0UH1IS,True,False,True,4,11,8,12,12,1
4,A1SHLWKA0UH1IS,True,False,True,1,4,6,10,11,2
5,A1SHLWKA0UH1IS,True,False,True,2,5,8,7,7,2
6,A1SHLWKA0UH1IS,True,False,True,3,5,7,8,9,2
7,A1SHLWKA0UH1IS,True,False,True,4,12,10,12,11,2
8,A1SHLWKA0UH1IS,True,False,True,1,5,6,6,6,3
9,A1SHLWKA0UH1IS,True,False,True,2,5,9,7,7,3
10,A1SHLWKA0UH1IS,True,False,True,3,4,7,10,8,3
11,A1SHLWKA0UH1IS,True,False,True,4,11,10,11,12,3
12,A1SHLWKA0UH1IS,True,False,True,1,4,7,6,9,4
13,A1SHLWKA0UH1IS,True,False,True,2,5,9,9,7,4
14,A1SHLWKA0UH1IS,True,False,True,3,6,8,8,9,4
15,A1SHLWKA0UH1IS,True,False,True,4,10,10,10,11,4
16,A12FTSX85NQ8N9,True,False,True,3,3,4,4,10,1
17,A12FTSX85NQ8N9,True,False,True,4,5,6,8,11,1
18,A12FTSX85NQ8N9,True,False,True,2,4,6,8,8,1
19,A12FTSX85NQ8N9,True,False,True,1,4,3,6,9,1
20,A12FTSX85NQ8N9,True,False,True,3,3,4,8,10,2
21,A12FTSX85NQ8N9,True,False,True,4,6,7,11,9,2
22,A12FTSX85NQ8N9,True,False,True,2,4,6,8,11,2
23,A12FTSX85NQ8N9,True,False,True,1,4,4,6,12,2
24,A12FTSX85NQ8N9,True,False,True,3,4,5,6,10,3
25,A12FTSX85NQ8N9,True,False,True,4,6,6,11,9,3
26,A12FTSX85NQ8N9,True,False,True,2,7,9,8,11,3
27,A12FTSX85NQ8N9,True,False,True,1,5,4,8,12,3
28,A12FTSX85NQ8N9,True,False,True,3,3,4,10,11,4
29,A12FTSX85NQ8N9,True,False,True,4,5,5,10,10,4
30,A12FTSX85NQ8N9,True,False,True,2,6,8,8,7,4
31,A12FTSX85NQ8N9,True,False,True,1,6,6,8,8,4
32,A2NQWW9Y3ZVGU0,True,False,True,2,5,7,5,11,1
33,A2NQWW9Y3ZVGU0,True,False,True,4,4,6,1,12,1
34,A2NQWW9Y3ZVGU0,True,False,True,3,4,7,3,6,1
35,A2NQWW9Y3ZVGU0,True,False,True,1,5,8,2,10,1
36,A2NQWW9Y3ZVGU0,True,False,True,2,4,7,3,10,2
37,A2NQWW9Y3ZVGU0,True,False,True,4,6,10,6,12,2
38,A2NQWW9Y3ZVGU0,True,False,True,3,6,9,4,8,2
39,A2NQWW9Y3ZVGU0,True,False,True,1,6,10,3,9,2
40,A2NQWW9Y3ZVGU0,True,False,True,2,5,8,3,9,3
41,A2NQWW9Y3ZVGU0,True,False,True,4,8,10,8,10,3
42,A2NQWW9Y3ZVGU0,True,False,True,3,5,8,3,5,3
43,A2NQWW9Y3ZVGU0,True,False,True,1,5,10,5,5,3
44,A2NQWW9Y3ZVGU0,True,False,True,2,4,9,5,8,4
45,A2NQWW9Y3ZVGU0,True,False,True,4,4,10,10,9,4
46,A2NQWW9Y3ZVGU0,True,False,True,3,5,10,2,8,4
47,A2NQWW9Y3ZVGU0,True,False,True,1,5,10,3,5,4
48,A10YGFN8NW849U,False,True,False,1,2,10,3,4,1
49,A10YGFN8NW849U,False,True,False,2,7,7,6,4,1
50,A10YGFN8NW849U,False,True,False,4,4,4,8,9,1
51,A10YGFN8NW849U,False,True,False,3,5,5,6,4,1
52,A10YGFN8NW849U,False,True,False,1,4,6,2,5,2
53,A10YGFN8NW849U,False,True,False,2,4,6,5,6,2
54,A10YGFN8NW849U,False,True,False,4,6,6,11,9,2
55,A10YGFN8NW849U,False,True,False,3,6,6,10,5,2
56,A10YGFN8NW849U,False,True,False,1,5,6,7,3,3
57,A10YGFN8NW849U,False,True,False,2,5,4,6,8,3
58,A10YGFN8NW849U,False,True,False,4,5,6,9,5,3
59,A10YGFN8NW849U,False,True,False,3,5,5,2,3,3
60,A10YGFN8NW849U,False,True,False,1,3,5,6,2,4
61,A10YGFN8NW849U,False,True,False,2,5,5,10,7,4
62,A10YGFN8NW849U,False,True,False,4,6,5,8,7,4
63,A10YGFN8NW849U,False,True,False,3,4,6,2,3,4
64,AA4O2W236E3FW,False,True,False,3,4,9,5,3,1
65,AA4O2W236E3FW,False,True,False,4,8,9,9,9,1
66,AA4O2W236E3FW,False,True,False,2,5,7,6,6,1
67,AA4O2W236E3FW,False,True,False,1,5,4,2,3,1
68,AA4O2W236E3FW,False,True,False,3,3,7,4,5,2
69,AA4O2W236E3FW,False,True,False,4,7,7,6,5,2
70,AA4O2W236E3FW,False,True,False,2,6,5,5,7,2
71,AA4O2W236E3FW,False,True,False,1,3,7,4,4,2
72,AA4O2W236E3FW,False,True,False,3,6,9,4,3,3
73,AA4O2W236E3FW,False,True,False,4,8,10,7,9,3
74,AA4O2W236E3FW,False,True,False,2,6,7,5,8,3
75,AA4O2W236E3FW,False,True,False,1,4,8,5,2,3
76,AA4O2W236E3FW,False,True,False,3,7,5,6,4,4
77,AA4O2W236E3FW,False,True,False,4,8,7,7,7,4
78,AA4O2W236E3FW,False,True,False,2,9,3,4,4,4
79,AA4O2W236E3FW,False,True,False,1,3,7,5,5,4
80,A2MV1R6YYOIO30,False,True,False,4,9,11,10,9,1
81,A2MV1R6YYOIO30,False,True,False,2,10,10,11,7,1
82,A2MV1R6YYOIO30,False,True,False,1,9,8,11,4,1
83,A2MV1R6YYOIO30,False,True,False,3,9,8,10,4,1
84,A2MV1R6YYOIO30,False,True,False,4,9,10,9,5,2
85,A2MV1R6YYOIO30,False,True,False,2,10,10,8,6,2
86,A2MV1R6YYOIO30,False,True,False,1,10,9,10,5,2
87,A2MV1R6YYOIO30,False,True,False,3,10,9,6,3,2
88,A2MV1R6YYOIO30,False,True,False,4,8,8,5,7,3
89,A2MV1R6YYOIO30,False,True,False,2,8,7,5,8,3
90,A2MV1R6YYOIO30,False,True,False,1,7,8,3,2,3
91,A2MV1R6YYOIO30,False,True,False,3,8,6,3,5,3
92,A2MV1R6YYOIO30,False,True,False,4,9,8,9,9,4
93,A2MV1R6YYOIO30,False,True,False,2,7,6,0,4,4
94,A2MV1R6YYOIO30,False,True,False,1,7,5,4,3,4
95,A2MV1R6YYOIO30,False,True,False,3,9,8,2,3,4
96,A2RZ2KV4668R58,True,True,False,1,9,3,9,3,1
97,A2RZ2KV4668R58,True,True,False,3,3,5,3,4,1
98,A2RZ2KV4668R58,True,True,False,4,10,7,10,9,1
99,A2RZ2KV4668R58,True,True,False,2,5,7,5,7,1
100,A2RZ2KV4668R58,True,True,False,1,5,5,5,5,2
101,A2RZ2KV4668R58,True,True,False,3,4,1,4,1,2
102,A2RZ2KV4668R58,True,True,False,4,11,9,11,4,2
103,A2RZ2KV4668R58,True,True,False,2,3,6,3,6,2
104,A2RZ2KV4668R58,True,True,False,1,3,4,3,4,3
105,A2RZ2KV4668R58,True,True,False,3,8,5,8,5,3
106,A2RZ2KV4668R58,True,True,False,4,8,4,8,7,3
107,A2RZ2KV4668R58,True,True,False,2,5,11,5,7,3
108,A2RZ2KV4668R58,True,True,False,1,4,4,4,4,4
109,A2RZ2KV4668R58,True,True,False,3,3,4,3,5,4
110,A2RZ2KV4668R58,True,True,False,4,9,7,9,7,4
111,A2RZ2KV4668R58,True,True,False,2,3,7,3,11,4
112,AD15OW944ZV20,True,True,False,3,5,6,5,4,1
113,AD15OW944ZV20,True,True,False,4,9,6,9,6,1
114,AD15OW944ZV20,True,True,False,1,3,2,5,6,1
115,AD15OW944ZV20,True,True,False,2,11,7,10,7,1
116,AD15OW944ZV20,True,True,False,3,5,5,6,1,2
117,AD15OW944ZV20,True,True,False,4,11,9,11,5,2
118,AD15OW944ZV20,True,True,False,1,3,3,3,5,2
119,AD15OW944ZV20,True,True,False,2,10,5,8,7,2
120,AD15OW944ZV20,True,True,False,3,2,3,5,2,3
121,AD15OW944ZV20,True,True,False,4,10,9,10,8,3
122,AD15OW944ZV20,True,True,False,1,5,5,5,3,3
123,AD15OW944ZV20,True,True,False,2,9,6,9,4,3
124,AD15OW944ZV20,True,True,False,3,4,4,4,3,4
125,AD15OW944ZV20,True,True,False,4,10,7,11,10,4
