,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,feedback,human,highacc
0,7,5,6,5,5,6,6,6,5,6,5,7,12,13,12,11,False,True,True
1,7,5,5,6,5,5,7,8,4,4,4,5,6,7,7,6,False,True,True
2,6,7,6,6,5,6,5,6,5,6,7,6,5,9,7,5,False,True,True
3,4,6,5,3,6,5,8,6,6,5,7,6,6,7,7,5,True,False,False
4,5,6,4,4,7,6,10,7,5,7,4,8,8,9,9,9,True,False,False
5,8,8,11,10,9,11,8,11,11,10,9,10,10,10,9,10,True,False,False
6,6,5,4,10,6,4,4,6,5,4,4,9,11,12,9,10,True,True,False
7,6,4,4,6,11,10,11,12,5,6,3,6,11,12,10,11,True,True,False
8,5,4,3,4,4,6,8,4,5,8,8,8,11,12,11,12,True,True,False
9,3,6,7,9,8,11,6,11,6,5,9,9,9,10,9,6,False,False,True
10,5,5,4,5,12,11,11,13,4,7,3,5,9,11,10,8,False,False,True
11,4,3,5,3,6,8,13,9,3,5,4,5,3,10,6,6,False,False,True
12,9,9,4,9,11,11,11,12,8,8,6,8,7,8,8,7,True,True,True
13,8,12,4,10,8,9,12,7,7,9,9,5,11,12,12,10,True,True,True
14,6,10,6,7,7,7,9,8,8,8,10,7,10,8,11,8,True,True,True
15,5,7,6,4,4,6,4,3,8,10,7,4,8,5,6,7,True,False,True
16,3,6,6,4,4,4,6,4,3,3,6,4,5,9,7,11,True,False,True
17,4,4,4,3,7,6,10,8,5,2,6,5,3,12,5,5,True,False,True
18,3,3,3,1,9,8,11,8,6,2,4,8,5,8,5,4,False,True,True
19,5,4,4,4,3,4,4,4,4,3,4,8,4,5,4,9,False,True,True
20,12,11,11,11,10,12,11,11,11,11,11,8,10,11,11,11,False,True,True
21,3,2,3,3,12,3,5,4,4,5,7,3,6,11,7,4,True,False,False
22,5,2,6,5,10,3,3,2,9,5,8,4,7,9,6,9,True,False,False
23,3,3,7,6,4,5,3,6,6,3,5,5,8,11,4,6,True,False,False
24,6,3,5,7,4,1,5,4,7,5,5,9,7,8,3,10,True,True,False
25,7,6,7,7,12,12,10,11,7,9,6,9,11,10,10,10,True,True,False
26,12,10,7,8,9,8,8,10,9,9,12,11,9,10,9,8,True,True,False
27,4,3,5,3,4,3,3,3,5,4,5,2,7,9,7,7,False,False,True
28,3,4,4,3,4,5,6,2,7,8,6,8,5,11,9,9,False,False,True
29,9,4,9,11,10,3,9,9,10,9,9,7,10,12,12,11,True,True,True
30,10,8,8,7,10,8,6,8,6,8,7,8,8,8,6,8,True,True,True
31,6,8,12,10,10,9,6,7,8,9,8,7,11,11,11,10,True,True,True
32,6,4,5,6,4,3,5,2,1,2,4,3,6,8,9,9,True,False,True
33,13,13,13,12,12,12,13,12,13,12,12,12,12,13,13,12,True,False,True
34,8,7,11,13,11,11,7,5,7,11,12,5,10,10,9,9,True,False,True
35,3,5,4,4,8,9,11,9,5,6,5,7,11,12,11,10,False,True,True
36,3,4,4,2,12,9,10,10,3,5,5,4,9,11,9,9,False,True,True
37,4,6,7,5,11,10,11,11,6,8,6,10,12,12,11,10,False,True,True
38,5,4,6,4,8,9,9,9,5,7,5,4,6,8,6,8,False,True,True
39,4,4,2,5,12,10,12,12,4,10,8,10,7,9,7,9,False,True,True
40,5,6,4,5,10,10,10,10,4,7,5,7,12,13,11,12,False,True,True
41,8,3,8,7,6,7,5,8,8,10,10,8,11,12,9,10,False,True,True
42,7,4,4,6,11,10,11,12,3,4,6,5,12,11,11,10,False,True,True
43,5,7,5,5,10,10,9,11,5,6,5,7,9,10,9,9,False,True,True
44,5,4,4,4,10,9,11,4,3,4,3,7,5,5,6,4,True,False,False
