,PID_1,PID_2,PID_3,PID_4,PID_5,PID_6,PID_7,PID_8,PID_9,PID_10,PID_11,PID_12,PID_13,PID_14,PID_15,PID_16
0,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
1,3,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1
2,2,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1
3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4,3
4,3,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1
5,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
6,1,3,4,2,1,3,4,2,1,3,4,2,1,3,4,2
7,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
8,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1
9,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
10,2,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1
11,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
12,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
13,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
14,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
15,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
16,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
17,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3
18,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1
19,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2
20,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
21,1,3,4,2,1,3,4,2,1,3,4,2,1,3,4,2
22,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
23,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2
24,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3,4
25,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
26,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2
27,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
28,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1
29,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
30,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2
31,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2
32,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2
