,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,feedback,human,highacc
0,10,11,7,7,10,8,8,10,5,9,11,9,13,13,12,11,False,True,True
1,9,7,7,9,9,9,9,9,5,9,11,7,9,12,12,11,False,True,True
2,3,4,6,4,4,6,6,4,4,3,5,4,2,9,7,11,False,True,True
3,7,8,3,4,7,6,7,11,3,3,11,7,10,12,9,9,True,False,False
4,6,3,6,5,6,7,5,6,6,5,5,7,7,10,8,8,True,False,False
5,4,5,11,12,6,9,1,12,7,3,4,11,10,10,6,11,True,False,False
6,6,5,4,10,6,4,4,6,5,4,4,9,11,12,9,10,True,True,False
7,7,4,6,6,10,10,9,11,5,7,6,6,12,12,10,11,True,True,False
8,6,4,7,8,6,8,7,5,8,10,8,11,12,12,10,11,True,True,False
9,8,2,4,6,11,12,9,10,6,7,6,8,4,10,9,9,False,False,True
10,6,8,3,9,12,10,10,11,9,6,5,4,11,13,12,9,False,False,True
11,5,5,3,5,7,8,10,10,3,4,5,5,5,12,8,9,False,False,True
12,9,11,7,5,13,11,12,13,4,7,8,7,8,11,10,10,True,True,True
13,7,10,6,5,9,7,9,9,5,6,8,8,11,13,9,10,True,True,True
14,4,5,5,2,4,5,10,4,3,6,2,5,5,8,4,3,True,True,True
15,10,8,7,8,5,9,7,8,8,8,13,11,10,11,7,9,True,False,True
16,3,6,6,4,4,4,6,4,3,3,6,4,5,9,7,11,True,False,True
17,8,11,7,7,10,9,7,11,8,8,9,6,8,12,7,9,True,False,True
18,6,5,5,4,10,9,10,12,5,9,3,8,5,8,10,7,False,True,True
19,3,2,5,6,2,4,3,4,4,3,3,9,1,7,3,10,False,True,True
20,2,3,4,5,6,5,4,5,2,3,7,4,5,11,6,9,False,True,True
21,3,2,3,3,4,3,5,4,4,5,7,3,6,11,7,4,True,False,False
22,5,2,6,5,10,3,3,2,9,5,8,4,7,9,6,9,True,False,False
23,3,3,7,6,4,5,3,6,6,3,5,5,8,11,4,6,True,False,False
24,6,3,5,7,4,1,5,4,7,5,5,4,8,10,3,4,True,True,False
25,11,9,6,9,11,11,10,13,6,7,7,8,12,13,11,11,True,True,False
26,5,4,6,3,4,5,6,3,6,5,2,3,6,8,4,2,True,True,False
27,3,3,3,6,6,3,1,3,5,5,3,6,7,12,7,10,False,False,True
28,4,6,3,5,4,6,5,5,6,8,8,9,10,11,10,9,False,False,True
29,9,4,1,10,10,3,9,2,7,7,9,3,11,12,12,12,True,True,True
30,4,3,7,6,6,4,5,6,2,4,4,4,3,5,3,5,True,True,True
31,5,3,13,4,7,5,6,5,7,5,7,5,9,11,11,11,True,True,True
32,6,4,5,6,4,3,5,2,1,2,4,3,6,8,9,9,True,False,True
33,5,10,4,4,5,4,4,3,6,4,5,2,5,13,10,9,True,False,True
34,9,6,11,12,13,9,4,5,6,10,11,4,11,11,7,10,True,False,True
35,7,3,6,5,9,8,10,10,4,5,9,7,10,12,10,10,False,True,True
36,4,7,8,6,13,11,10,12,6,4,8,9,10,12,11,10,False,True,True
37,7,7,5,7,13,9,12,12,4,8,6,8,13,13,12,12,False,True,True
38,5,6,4,6,8,8,11,8,9,9,9,7,8,12,7,12,False,True,True
39,5,8,2,3,12,11,11,12,6,8,7,8,7,12,8,10,False,True,True
40,7,10,8,6,10,8,11,10,6,8,10,7,11,12,10,11,False,True,True
41,9,8,11,9,8,7,8,8,8,7,9,11,12,12,10,13,False,True,True
42,8,11,4,7,13,9,11,11,6,8,9,7,12,12,11,11,False,True,True
43,8,10,6,6,10,8,9,9,6,6,7,8,12,12,10,11,False,True,True
44,4,4,8,7,12,7,7,6,5,7,6,7,6,7,6,9,True,False,False
45,10,11,9,8,11,12,11,10,8,8,13,9,13,13,12,10,True,False,False
46,8,5,4,4,11,10,7,7,6,8,11,5,13,12,9,13,True,False,False
47,6,5,3,5,10,9,9,9,5,5,7,8,8,11,9,11,True,False,False
48,6,6,6,6,9,9,10,9,8,7,8,9,12,12,11,10,True,False,False
49,5,6,8,5,10,7,8,7,6,7,7,8,12,13,10,13,True,False,False
50,9,7,7,6,4,6,6,6,7,8,10,9,12,13,9,11,True,False,False
51,9,7,9,7,12,11,10,13,7,6,9,7,12,13,9,11,True,False,False
52,9,7,4,5,10,8,8,9,7,9,8,9,8,11,9,8,True,False,False
53,10,8,6,7,9,7,8,7,11,8,10,12,13,13,10,12,True,True,False
54,8,9,9,10,11,9,8,8,6,10,9,8,7,12,10,7,True,True,False
55,7,7,4,7,9,5,6,8,6,7,8,5,12,13,10,12,True,True,False
56,9,9,6,7,10,9,7,10,8,11,12,9,10,13,9,12,True,True,False
57,11,9,10,8,11,9,6,10,7,9,11,11,12,13,11,12,True,True,False
58,7,8,4,6,13,12,12,13,3,7,6,9,9,12,9,12,True,True,False
59,5,5,7,5,7,8,7,4,7,8,10,6,12,12,11,10,True,True,False
60,3,9,5,5,11,12,9,11,7,7,8,8,10,12,10,11,True,True,False
61,11,9,6,8,9,6,8,10,6,10,9,8,12,13,10,10,True,True,False
62,8,4,5,8,12,9,9,12,5,6,7,8,13,13,10,12,True,True,False
63,8,7,5,6,11,11,7,8,5,8,11,7,10,13,12,10,False,False,True
64,6,10,4,4,7,5,5,5,6,6,7,7,13,13,12,13,False,False,True
65,9,9,7,9,9,10,11,9,7,7,7,8,5,12,8,9,False,False,True
66,11,7,7,8,11,12,10,11,7,9,7,9,13,13,11,11,False,False,True
67,9,6,6,8,8,8,6,9,6,10,10,6,8,12,9,9,False,False,True
68,11,11,9,7,13,11,12,12,7,9,8,7,12,12,10,11,False,False,True
69,10,12,8,10,8,7,8,7,5,9,12,9,13,13,12,12,False,False,True
70,7,6,5,5,7,8,8,4,4,10,7,10,12,13,11,11,False,False,True
71,5,5,3,6,8,5,5,5,6,8,10,7,13,13,10,12,False,False,True
72,10,10,7,8,12,11,10,11,5,8,9,9,13,13,13,11,True,True,True
73,8,8,4,4,11,11,9,10,6,9,7,9,10,11,8,10,True,True,True
74,9,6,9,7,9,11,7,11,4,9,11,10,13,11,12,13,True,True,True
75,6,8,6,4,12,11,10,10,8,8,8,10,12,12,10,9,True,True,True
76,9,6,7,4,8,10,6,11,4,8,8,8,13,13,12,9,True,True,True
