,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,feedback,human,highacc
0,10,10,5,13,11,8,9,13,7,8,11,12,7,10,9,11,False,True,True
1,5,9,9,7,9,12,9,7,7,12,9,9,11,11,9,9,False,True,True
2,6,2,4,3,4,7,5,4,4,9,4,6,6,11,3,4,False,True,True
3,4,7,9,7,3,6,12,11,8,7,10,3,7,11,9,3,True,False,False
4,6,10,7,3,5,7,6,5,5,8,6,6,7,8,5,6,True,False,False
5,11,12,12,11,10,9,11,7,6,6,4,4,10,1,5,3,True,False,False
6,10,4,11,6,6,5,12,4,4,9,9,6,5,4,10,4,True,True,False
7,6,10,6,11,7,12,4,9,6,11,6,10,5,12,7,10,True,True,False
8,8,7,10,7,8,8,12,8,10,5,11,4,11,6,12,6,True,True,False
9,10,9,2,7,12,10,8,8,11,4,4,6,9,9,6,6,False,False,True
10,12,9,4,6,11,12,5,3,10,13,6,9,10,11,9,8,False,False,True
11,3,3,10,12,5,4,7,8,5,5,10,9,5,5,8,5,False,False,True
12,7,13,7,10,5,12,8,8,9,11,7,11,11,13,4,10,True,True,True
13,11,9,6,8,13,9,10,8,9,7,7,6,10,9,5,5,True,True,True
14,10,3,8,4,4,6,3,2,4,5,4,5,5,2,5,5,True,True,True
15,8,13,8,7,7,11,5,11,10,8,9,9,8,8,7,10,True,False,True
16,6,7,4,3,4,9,6,4,4,5,3,3,4,11,6,6,True,False,True
17,7,8,9,8,11,7,12,6,10,11,8,8,9,7,7,9,True,False,True
18,10,12,3,5,8,9,8,5,5,10,9,4,7,10,5,6,False,True,True
19,10,9,3,4,7,4,6,4,1,3,5,2,3,3,2,3,False,True,True
20,5,4,4,6,3,3,5,9,2,7,5,11,4,2,6,5,False,True,True
21,3,3,6,5,2,4,11,3,3,5,7,4,3,7,4,4,True,False,False
22,10,9,9,6,3,8,7,2,3,4,6,5,2,5,9,5,True,False,False
23,11,7,6,6,6,6,5,3,8,3,3,4,4,3,5,5,True,False,False
24,1,5,5,3,4,3,5,8,4,7,7,10,5,6,4,4,True,True,False
25,10,7,9,12,11,6,11,11,11,8,6,13,13,7,9,11,True,True,False
26,4,5,2,4,6,6,6,6,8,4,5,3,2,3,3,5,True,True,False
27,6,5,3,7,1,6,3,12,3,3,3,7,3,5,6,10,False,False,True
28,11,5,9,3,10,6,6,5,9,5,8,6,10,4,8,4,False,False,True
29,4,3,9,12,9,9,3,12,10,10,7,11,1,2,7,12,True,True,True
30,6,5,4,6,7,3,4,4,4,5,4,6,3,3,2,5,True,True,True
31,13,9,7,7,3,11,7,6,5,11,5,5,4,11,5,5,True,True,True
32,9,4,1,3,9,5,3,5,8,6,2,2,6,6,4,4,True,False,True
33,13,10,4,4,5,4,5,6,10,4,4,5,9,5,3,2,True,False,True
34,12,13,11,11,11,9,10,11,6,4,6,10,9,5,4,7,True,False,True
