,QID,SID,SUBCATEGORY,QUESTION,CORRECT,INCORRECT1,INCORRECT2,INCORRECT3
0,29,1,History of Art,"How many figures appear in the Grant Wood painting ""American Gothic""?",2,3,5,1
1,23,1,History of Art,"What was the name of the ""anti-art"" movement founded in Zürich in 1916?",Dada,Mama,Gaga,Yaya
2,1365,1,History of Art,What is the period between the fall of the Roman Empire and the beginning of the Renaissance called?,The Middle Ages,The Rokoko,The Baroque,The Sculpture
3,1060,1,History of Art,"In Italian Renaissance art, what is a 'putto'?",Naked cherub,A small canvas,Sculpted cup,Statue of a woman
4,1731,1,History of Art,Who painted the famous 'The Siege of Montemassi'?,Simone Martini,Hans Holbein,Lorenzetti,Giotto
5,14,1,History of Art,The painter Frida Kahlo was what nationality?,Mexican,German,Portuguese,Australian
6,1,1,History of Art,Who painted the Mona Lisa?,Leonardo da Vinci,JMW Turner,Tintoretto,Paul Gauguin
7,1679,1,History of Art,Which W is the first name of the 18th century artist Hogarth?,William,Winston,Wayne,Wycliffe
8,17,1,History of Art,Jacques-Louis David was the official painter to which military and political leader?,Napoleon,Hitler,Charles de Gaulle,Churchill
9,1161,1,History of Art,Paracelsus was a famous ____ during the Renaissance?,Scientist,Artist,Monk,Explorer
10,20,1,History of Art,Which Italian artist's real name was Alessandro di Mariano di Vanni Filipepi?,Botticelli,Da Vinci,Rubens,Verdi
11,1489,1,History of Art,Which country's main historical events include the Renaissance and the Risorgimento?,Italy,Germany,China,USA
12,1145,1,History of Art,Name the Dutch painter who painted The Night Watch.,Rembrandt,Peter Paul Rubens,Vincent van Gogh,Johannes Vermeer
13,28,1,History of Art,"The 1955 Jasper Johns work ""Flag"" is a representation of the flag of which country?",United States,China,Italy,Australia
14,18,1,History of Art,The 2018 film At Eternity's Gate starred Willem Dafoe as which troubled artist?,Vincent Van Gogh,Rembrandt,Pierre Renoir,Yves Klein
15,5,1,History of Art,The Thinker is a work of 1904 by which sculptor?,Auguste Rodin,Louise Bourgeois,Barbara Hepworth,Alberto Giamcometti
